No;Kode Part;Desc Part;Gudang Part;Lokasi Part;ONHAND;BOOKING;AVS
1;AHTS0201050;;GUDANG UTAMA BAHAGIA MOTOR;D.1.1.1;0;0;0
2;03512K1ZGBL;SMART KEY REMOTE COVER BLK;GUDANG UTAMA BAHAGIA MOTOR;D4.1.1.1;0;0;0
3;03512SKRCBL;SMART KEY REMOTE CVR BLK 24;GUDANG UTAMA BAHAGIA MOTOR;D1.1.1.1;0;0;0
4;03512SKRCCP;SMART KEY REMOTE CVR CPR 24;GUDANG UTAMA BAHAGIA MOTOR;D1.1.1.1;0;0;0
5;03512SKRCRE;SMART KEY REMOTE CVR RED 24;GUDANG UTAMA BAHAGIA MOTOR;D1.1.1.1;0;0;0
6;05052RSP000;RUBBER STAND PAD;GUDANG UTAMA BAHAGIA MOTOR;D4.1.1.1;0;0;0
7;06141GN5505;CAM CHAIN KIT;GUDANG UTAMA BAHAGIA MOTOR;A3.01.1.3;10;0;10
8;06141KRS505;CAM CHAIN KIT;GUDANG UTAMA BAHAGIA MOTOR;A3.01.1.2;6;0;6
9;06141KVB505;CAM CHAIN KIT;GUDANG UTAMA BAHAGIA MOTOR;A3.01.1.4;29;0;29
10;06141KWB505;CAM CHAIN KIT;GUDANG UTAMA BAHAGIA MOTOR;A3.01.1.1;0;0;0
11;06401K15900;DRIVE CHAIN KIT;GUDANG UTAMA BAHAGIA MOTOR;A2.02.2.1;2;0;2
12;06401K18900;DRIVE CHAIN KIT;GUDANG UTAMA BAHAGIA MOTOR;A2.02.2.3;1;0;1
13;06401K41N01;DRIVE CHAIN KIT;GUDANG UTAMA BAHAGIA MOTOR;A2.02.1.1;2;0;2
14;06401K45N01;DRIVE CHAIN KIT;GUDANG UTAMA BAHAGIA MOTOR;A2.02.2.4;3;0;3
15;06401K45N41;DRIVE CHAIN KIT;GUDANG UTAMA BAHAGIA MOTOR;A2.02.2.4;1;0;1
16;06401K56N00;DRIVE CHAIN KIT;GUDANG UTAMA BAHAGIA MOTOR;A2.02.2.2;5;0;5
17;06401K56N11;DRIVE CHAIN KIT;GUDANG UTAMA BAHAGIA MOTOR;A2.02.2.2;5;0;5
18;06401KCJ690;DRIVE CHAIN KIT;GUDANG UTAMA BAHAGIA MOTOR;A2.02.2.3;0;0;0
19;06401KCJ691;DRIVE CHAIN KIT;GUDANG UTAMA BAHAGIA MOTOR;A2.02.1.1;1;0;1
20;06401KEH900;DRIVE CHAIN KIT;GUDANG UTAMA BAHAGIA MOTOR;A2.02.2.3;1;0;1
21;06401KEV881;DRIVE CHAIN KIT;GUDANG UTAMA BAHAGIA MOTOR;A2.02.2.4;3;0;3
22;06401KPH881;DRIVE CHAIN KIT;GUDANG UTAMA BAHAGIA MOTOR;A2.02.1.2;10;0;10
23;06401KTL700;DRIVE CHAIN KIT;GUDANG UTAMA BAHAGIA MOTOR;A2.02.1.3;5;0;5
24;06401KWB900;DRIVE CHAIN KIT;GUDANG UTAMA BAHAGIA MOTOR;A2.02.1.3;11;0;11
25;06401KWC900;DRIVE CHAIN KIT;GUDANG UTAMA BAHAGIA MOTOR;A2.02.2.3;1;0;1
26;06401KWW900;DRIVE CHAIN KIT;GUDANG UTAMA BAHAGIA MOTOR;A2.02.1.4;2;0;2
27;06401KYE900;DRIVE CHAIN KIT;GUDANG UTAMA BAHAGIA MOTOR;A2.02.1.1;1;0;1
28;06401KYZ900;DRIVE CHAIN KIT;GUDANG UTAMA BAHAGIA MOTOR;A2.02.2.1;2;0;2
29;06410KSP900;DAMPER SET,WHEEL;GUDANG UTAMA BAHAGIA MOTOR;A2.03.4.2;1;0;1
30;06430K44V80;SHOE SET,BRAKE;GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;8;0;8
31;06430KWN900;SHOE SET,BRAKE;GUDANG UTAMA BAHAGIA MOTOR;A1.02.2.4;0;0;0
32;06430KZL930;SHOE SET BRAKE;GUDANG UTAMA BAHAGIA MOTOR;A3.01.4.2;1;0;1
33;06435K07901;PAD SET RR;GUDANG UTAMA BAHAGIA MOTOR;A3.01.2.1;2;0;2
34;06435K56N01;PAD SET, RR.;GUDANG UTAMA BAHAGIA MOTOR;A3.01.2.1;1;0;1
35;06435K97N01;PAD SET RR BRAKE;GUDANG UTAMA BAHAGIA MOTOR;A3.01.2.2;23;0;23
36;06435KPP901;PAD SET RR;GUDANG UTAMA BAHAGIA MOTOR;A3.01.2.2;4;0;4
37;06435KPPT01;PAD SET, RR.;GUDANG UTAMA BAHAGIA MOTOR;A3.01.2.2;2;0;2
38;06435KREG31;06435KREG32;GUDANG UTAMA BAHAGIA MOTOR;A3.01.3.3;0;0;0
39;06435KSPB01;PAD SET RR;GUDANG UTAMA BAHAGIA MOTOR;A3.01.2.3;2;0;2
40;0643AKVY700;STEP FLOOR-UNDER(SET);GUDANG UTAMA BAHAGIA MOTOR;C2.08.3.1;7;0;7
41;06455K20911;06455K20912;GUDANG UTAMA BAHAGIA MOTOR;A1.02.2.4;1;0;1
42;06455K46N21;PAD SET, FR. BRAKE;GUDANG UTAMA BAHAGIA MOTOR;A3.01.2.1;2;0;2
43;06455K56N01;PAD SET, FR. BRAKE;GUDANG UTAMA BAHAGIA MOTOR;A3.01.2.1;3;0;3
44;06455K59A71;PAD SET,FR BRAKE;GUDANG UTAMA BAHAGIA MOTOR;A3.01.2.1;7;0;7
45;06455K84901;06455K84902;GUDANG UTAMA BAHAGIA MOTOR;A3.01.2.1;0;0;0
46;06455K84902;PAD SET, FR BRAKE;GUDANG UTAMA BAHAGIA MOTOR;A3.01.2.1;3;0;3
47;06455KPP901;PAD SET FR;GUDANG UTAMA BAHAGIA MOTOR;A3.01.3.4;2;0;2
48;06455KPPN01;06455KPPN02;GUDANG UTAMA BAHAGIA MOTOR;A3.01.2.2;0;0;0
49;06455KR3404;PAD SET FR (NA);GUDANG UTAMA BAHAGIA MOTOR;A3.01.2.3;1;0;1
50;06455KREK01;06455KREK02;GUDANG UTAMA BAHAGIA MOTOR;A3.01.2.1;2;0;2
51;06455KVB401;PAD SET FR (NA);GUDANG UTAMA BAHAGIA MOTOR;A3.01.2.4;5;0;5
52;06455KVBT01;PAD SET FR;GUDANG UTAMA BAHAGIA MOTOR;A3.01.3.3;3;0;3
53;06455KVY911;PAD SET FR;GUDANG UTAMA BAHAGIA MOTOR;A3.01.3.3;3;0;3
54;06455KWB601;PAD SET FR;GUDANG UTAMA BAHAGIA MOTOR;A3.01.2.1;0;0;0
55;06455KYE901;PAD SET FR;GUDANG UTAMA BAHAGIA MOTOR;A3.01.2.4;1;0;1
56;6535041010;RACE STEERING KIT;GUDANG UTAMA BAHAGIA MOTOR;A2.02.5.2;0;0;0
57;06535GN5505;RACE STEERING KIT;GUDANG UTAMA BAHAGIA MOTOR;A2.02.5.2;4;0;4
58;07300K64A00;NEW REAR PADDOCK CBR150/250;GUDANG UTAMA BAHAGIA MOTOR;D1.1.1.1;2;0;2
59;07341001000N;OUTSIDE MICROMTR 0-25;GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;2;0;2
60;07341002000N;OUTSIDE MICROMTR 25-50;GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;1;0;1
61;07341003000N;OUTSIDE MICROMETER 50-75;GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;1;0;1
